OBJECTID	SEG_ID	STREETNAME	ST_CODE	ONEWAY	CLASS	TYPE	Shape__Length
1	421454	FAIRMOUNT  AVE	33280	B	3	Conventional	0.000801929
2	421453	FAIRMOUNT  AVE	33280	B	3	Conventional	0.00108906
3	420550	N  15TH  ST	88070	TF	4	Sharrow	0.000667481
4	420504	N  15TH  ST	88070	TF	4	Sharrow	0.000708165
5	420713	N  18TH  ST	88130	FT	3	Sharrow	0.000478774
6	420734	N  18TH  ST	88130	FT	3	Sharrow	0.000307626
7	420763	N  18TH  ST	88130	FT	3	Sharrow	0.000759878
8	422158	N  18TH  ST	88130	B	3	Sharrow	0.000443249
9	421388	N  18TH  ST	88130	FT	3	Sharrow	0.000941059
10	421390	N  18TH  ST	88130	FT	3	Sharrow	0.000457355
11	421389	N  18TH  ST	88130	FT	3	Sharrow	0.000576627
12	421323	S  18TH  ST	88140	TF	3	Sharrow	0.000331748
13	421410	N  21ST  ST	88190	TF	3	Sharrow	0.000401204
14	421411	N  21ST  ST	88190	TF	3	Sharrow	0.000106533
15	422165	N  21ST  ST	88190	TF	3	Sharrow	0.000535488
16	421412	N  21ST  ST	88190	TF	3	Sharrow	0.000449019
17	422912	N  21ST  ST	88190	TF	3	Sharrow	0.00058653
18	422914	N  22ND  ST	88210	FT	3	Conventional	0.000571638
19	421986	S  21ST  ST	88200	FT	3	Sharrow	0.000506634
20	421988	S  21ST  ST	88200	FT	3	Sharrow	0.000347297
21	421987	S  21ST  ST	88200	FT	3	Sharrow	0.000118632
22	421409	N  22ND  ST	88210	FT	3	Conventional	0.000426995
23	422910	N  22ND  ST	88210	FT	3	Conventional	0.000136635
24	420838	N  22ND  ST	88210	FT	3	Conventional	0.000928977
25	421408	N  22ND  ST	88210	FT	3	Conventional	0.000950727
26	421428	N  21ST  ST	88190	TF	3	Sharrow	0.000917689
27	420813	N  21ST  ST	88190	TF	3	Sharrow	0.000707911
28	420793	N  21ST  ST	88190	TF	3	Sharrow	0.000669534
29	421792	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001623879
30	421791	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001407597
31	422076	N  21ST  ST	88190	TF	3	Sharrow	0.001167369
32	420751	BENJAMIN FRANKLIN  PKWY	16880	FT	2	Conventional	0.002099462
33	422074	BENJAMIN FRANKLIN  PKWY	16880	FT	2	Conventional	0.001758767
34	420700	N  21ST  ST	88190	TF	3	Sharrow	0.000222339
35	420659	N  22ND  ST	88210	FT	3	Conventional	0.000235165
36	420671	N  22ND  ST	88210	FT	3	Conventional	0.000256609
37	420662	N  22ND  ST	88210	FT	3	Conventional	0.000161295
38	420729	BENJAMIN FRANKLIN  PKWY	16880	TF	2	Conventional	0.001735581
39	420728	N  21ST  ST	88190	TF	3	Sharrow	0.000247904
40	421302	SANSOM  ST	70940	FT	3	Sharrow	0.001583473
41	421999	S  18TH  ST	88140	TF	3	Sharrow	0.000458876
42	421998	S  18TH  ST	88140	TF	3	Sharrow	0.000329308
43	421326	S  18TH  ST	88140	TF	3	Sharrow	0.000250003
44	421336	S  18TH  ST	88140	TF	3	Sharrow	0.0001359
45	421324	S  18TH  ST	88140	TF	3	Sharrow	0.000426637
46	421325	S  18TH  ST	88140	TF	3	Sharrow	0.000525504
47	421307	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.001593412
48	421308	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.001578838
49	421228	S  21ST  ST	88200	FT	3	Sharrow	0.000427173
50	421227	S  21ST  ST	88200	FT	3	Sharrow	0.000349918
51	421298	S  21ST  ST	88200	FT	3	Sharrow	0.000570383
52	421300	SANSOM  ST	70940	FT	3	Sharrow	0.001579685
53	421272	SANSOM  ST	70940	FT	3	Sharrow	0.001930901
54	421309	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.00158637
55	422089	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.001932227
56	421267	S  22ND  ST	88220	TF	3	Conventional	0.000433161
57	421284	S  22ND  ST	88220	TF	3	Conventional	8.15E-05
58	420129	POPLAR  DR	65257	B	3	Conventional	0.001996046
59	421098	POPLAR  DR	65257	B	3	Conventional	0.002194702
60	422356	PENNSYLVANIA  AVE	63960	B	3	Conventional	0.001174703
61	421793	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001626797
62	421819	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001043251
63	421820	PENNSYLVANIA  AVE	63960	B	3	Conventional	0.001064366
64	421821	PENNSYLVANIA  AVE	63960	B	3	Conventional	0.000736594
65	422008	PENNSYLVANIA  AVE	63960	B	3	Conventional	0.000609479
66	421338	N  15TH  ST	88070	TF	2	Paint Buffered	0.001045089
67	422336	CHESTNUT  ST	22820	TF	2	Conventional	0.000257678
68	421906	N  34TH  ST	88460	TF	2	Conventional	0.000562511
69	422025	LANCASTER  AVE	48900	B	2	Conventional	0.000643706
70	421126	N  34TH  ST	88460	TF	2	Conventional	0.000725343
71	421970	N  34TH  ST	88460	TF	2	Conventional	0.000757256
72	421967	S  34TH  ST	88470	FT	2	Conventional	0.000776875
73	422207	S  33RD  ST	88450	TF	3	Paint Buffered	0.00078216
74	421968	S  34TH  ST	88470	FT	2	Conventional	0.000768838
75	421916	CHESTNUT  ST	22820	TF	2	Conventional	0.002075346
76	421921	S  33RD  ST	88450	TF	3	Paint Buffered	0.000754383
77	421969	S  34TH  ST	88470	FT	2	Conventional	0.000779107
78	420707	N  21ST  ST	88190	TF	3	Sharrow	0.000159036
79	420530	SPRING GARDEN  ST	73800	TF	2	Conventional	0.001608941
80	420613	N  21ST  ST	88190	TF	3	Sharrow	0.001347087
81	422073	N  21ST  ST	88190	TF	3	Sharrow	0.000851859
82	421168	S  15TH  ST	88080	FT	3	Sharrow	0.00033955
83	421167	S  15TH  ST	88080	FT	3	Sharrow	0.000461204
84	421197	S  18TH  ST	88140	TF	3	Sharrow	0.000134139
85	421198	S  18TH  ST	88140	TF	3	Sharrow	0.000255752
86	421169	S  15TH  ST	88080	FT	3	Sharrow	0.000447644
87	421960	SPRUCE  ST	73960	FT	3	Paint Buffered	0.000537921
88	421956	SPRUCE  ST	73960	FT	3	Paint Buffered	0.001046684
89	421955	SPRUCE  ST	73960	FT	3	Paint Buffered	0.000569551
90	421196	S  18TH  ST	88140	TF	3	Sharrow	0.000464774
91	421199	S  18TH  ST	88140	TF	3	Sharrow	0.000384653
92	421950	SPRUCE  ST	73960	FT	3	Paint Buffered	0.001578892
93	421954	SPRUCE  ST	73960	FT	3	Paint Buffered	0.001025091
94	422352	S  22ND  ST	88220	TF	3	Conventional	0.000509718
95	422351	S  22ND  ST	88220	TF	3	Conventional	0.000174508
96	422973	S  22ND  ST	88220	TF	3	Conventional	0.000479889
97	421238	LOCUST  ST	51380	TF	4	Sharrow	0.001165551
98	421235	S  22ND  ST	88220	TF	3	Conventional	0.00037501
99	421935	SPRUCE  ST	73960	FT	3	Paint Buffered	0.000808668
100	421934	SPRUCE  ST	73960	FT	3	Paint Buffered	0.001587607
101	421937	SPRUCE  ST	73960	FT	3	Paint Buffered	0.001931645
102	421936	SPRUCE  ST	73960	FT	3	Paint Buffered	0.000807008
103	421234	S  22ND  ST	88220	TF	3	Conventional	0.000248197
104	421233	S  22ND  ST	88220	TF	3	Conventional	0.000251183
105	421232	S  22ND  ST	88220	TF	3	Conventional	0.000373008
106	421978	SPRUCE  ST	73960	FT	4	Sharrow	0.001159343
107	422085	S  21ST  ST	88200	FT	3	Sharrow	0.000614199
108	422349	S  21ST  ST	88200	FT	3	Sharrow	0.000307816
109	422967	S  21ST  ST	88200	FT	3	Sharrow	0.00032372
110	421230	S  21ST  ST	88200	FT	3	Sharrow	0.000339088
111	421229	S  21ST  ST	88200	FT	3	Sharrow	0.000139744
112	421949	SPRUCE  ST	73960	FT	3	Paint Buffered	0.00158047
113	421195	S  18TH  ST	88140	TF	3	Sharrow	0.0005804
114	421194	S  18TH  ST	88140	TF	3	Sharrow	0.000583717
115	421236	WALNUT  ST	81140	FT	2	Paint Buffered	0.001165237
116	421270	SANSOM  ST	70940	FT	3	Sharrow	0.001169958
117	421231	S  22ND  ST	88220	TF	3	Conventional	0.000783682
118	421264	SANSOM  ST	70940	B	5	Sharrow	0.000478109
119	421289	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.001155973
120	421269	S  22ND  ST	88220	TF	3	Conventional	0.000779142
121	421290	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.000816725
122	421288	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.000790081
123	421226	S  21ST  ST	88200	FT	3	Sharrow	0.000780057
124	421271	SANSOM  ST	70940	FT	3	Sharrow	0.000798701
125	421977	SPRUCE  ST	73960	FT	5	Sharrow	0.001033763
126	421942	S  24TH  ST	88270	FT	5	Sharrow	0.000379144
127	421258	S  24TH  ST	88270	FT	5	Sharrow	0.000879882
128	421255	LOCUST  ST	51380	TF	4	Sharrow	0.000526111
129	421256	LOCUST  ST	51380	TF	4	Sharrow	0.000510965
130	421260	S  25TH  ST	88290	TF	4	Sharrow	0.000866257
131	421259	LOCUST  ST	51380	TF	4	Sharrow	0.001116502
132	421945	S  25TH  ST	88290	TF	4	Sharrow	0.000380195
133	421976	SPRUCE  ST	73960	FT	5	Sharrow	0.001120609
134	422227	WALNUT  ST	81140	FT	2	Paint Buffered	0.001278819
135	421925	CHESTNUT  ST	22820	TF	2	Conventional	0.001536801
136	421975	S  30TH  ST	88390	FT	4	Conventional	0.001564829
137	421989	CHESTNUT  ST	22820	TF	2	Conventional	0.001820452
138	422362	CHESTNUT  ST	22820	TF	2	Conventional	0.00213736
139	420764	N  21ST  ST	88190	TF	3	Sharrow	0.000929775
140	420797	BENJAMIN FRANKLIN  PKWY	16880	FT	2	Conventional	0.000796386
141	422344	N  18TH  ST	88130	FT	3	Sharrow	0.001460675
142	421322	S  18TH  ST	88140	TF	3	Sharrow	0.000653085
143	421137	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.001596729
144	421147	S  15TH  ST	88080	FT	3	Paint Buffered	0.000641338
145	421140	SANSOM  ST	70940	FT	3	Sharrow	0.001586455
146	421141	SANSOM  ST	70940	FT	3	Sharrow	0.001591316
147	421150	S  15TH  ST	88080	FT	3	Sharrow	0.000485793
148	421151	S  15TH  ST	88080	FT	3	Sharrow	0.000283288
149	421337	S  15TH  ST	88080	FT	2	Paint Buffered	0.000300519
150	421153	S  15TH  ST	88080	FT	3	Sharrow	0.00042834
151	421155	S  15TH  ST	88080	FT	3	Sharrow	0.000528716
152	421154	S  15TH  ST	88080	FT	3	Sharrow	0.00063646
153	421152	S  15TH  ST	88080	FT	3	Sharrow	0.000354214
154	421136	CHESTNUT  ST	22820	TF	2	Bus Bike Lane	0.00158562
155	421301	SANSOM  ST	70940	FT	3	Sharrow	0.001598129
156	420562	SPRING GARDEN  ST	73800	TF	2	Conventional	0.001584316
157	420568	SPRING GARDEN  ST	73800	TF	2	Conventional	0.00159135
158	420554	SPRING GARDEN  ST	73800	TF	2	Conventional	0.001593913
159	421801	N  21ST  ST	88190	TF	4	Sharrow	0.000363465
160	421802	N  21ST  ST	88190	TF	4	Sharrow	0.000296087
161	420542	SPRING GARDEN  ST	73800	TF	2	Conventional	0.001901907
162	421797	N  21ST  ST	88190	TF	4	Sharrow	0.000280161
163	421798	N  21ST  ST	88190	TF	4	Sharrow	0.00041601
164	420107	N  15TH  ST	88070	TF	4	Sharrow	0.000415516
165	420084	N  15TH  ST	88070	TF	4	Sharrow	0.000332355
166	521306	N  15TH  ST	88070	TF	4	Sharrow	0.000565443
167	422029	N  15TH  ST	88070	TF	4	Sharrow	0.000373382
168	422323	N  15TH  ST	88070	TF	4	Sharrow	0.000434223
169	422324	N  15TH  ST	88070	TF	4	Sharrow	0.000405042
170	420217	N  15TH  ST	88070	TF	4	Sharrow	0.000689299
171	421532	N  15TH  ST	88070	TF	4	Sharrow	0.000596628
172	421535	N  15TH  ST	88070	TF	4	Sharrow	0.00061239
173	421461	N  15TH  ST	88070	TF	4	Sharrow	0.001127537
174	421462	N  15TH  ST	88070	TF	4	Sharrow	0.000138378
175	421449	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001605894
176	421450	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001110493
177	421463	N  15TH  ST	88070	TF	4	Sharrow	0.000378401
178	421448	FAIRMOUNT  AVE	33280	B	3	Conventional	0.000499952
179	421452	FAIRMOUNT  AVE	33280	B	3	Conventional	0.000522065
180	422107	N  15TH  ST	88070	TF	4	Sharrow	0.0005914
181	421447	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001618644
182	421464	N  15TH  ST	88070	TF	4	Sharrow	0.000525168
183	421433	N  15TH  ST	88070	TF	4	Sharrow	0.000546373
184	422004	N  15TH  ST	88070	TF	4	Sharrow	0.000618858
185	420458	N  15TH  ST	88070	TF	4	Sharrow	0.000698525
186	421803	N  21ST  ST	88190	TF	4	Sharrow	0.000631225
187	421800	N  21ST  ST	88190	TF	4	Sharrow	0.000332507
188	421788	FAIRMOUNT  AVE	33280	B	3	Conventional	0.000600753
189	421789	FAIRMOUNT  AVE	33280	B	3	Conventional	0.000566654
190	421451	FAIRMOUNT  AVE	33280	B	3	Conventional	0.000806315
191	421790	FAIRMOUNT  AVE	33280	B	3	Conventional	0.00076423
192	421799	N  21ST  ST	88190	TF	4	Sharrow	0.000390447
193	421794	FAIRMOUNT  AVE	33280	B	3	Conventional	0.001643103
194	421795	FAIRMOUNT  AVE	33280	B	3	Conventional	0.000232463
195	220496	S  20TH  ST	88180	B	3	Paint Buffered	0.001299886
196	220165	S  21ST  ST	88200	B	4	Conventional	0.001275356
197	220268	S  22ND  ST	88220	B	4	Sharrow	0.001272497
198	322566	W  PASSYUNK  AVE	63240	B	3	Sharrow	0.000484713
199	322518	S  22ND  ST	88220	TF	3	Conventional	0.001266154
200	322558	S  21ST  ST	88200	B	4	Conventional	0.001270835
201	322567	W  PASSYUNK  AVE	63240	B	3	Sharrow	0.000606676
202	322534	W  PASSYUNK  AVE	63240	B	3	Sharrow	0.000669995
203	322531	S  22ND  ST	88220	B	4	Sharrow	0.001280777
204	322530	S  22ND  ST	88220	B	4	Sharrow	0.000623034
205	322533	W  PASSYUNK  AVE	63240	B	3	Sharrow	0.000616049
206	322479	W  PASSYUNK  AVE	63240	B	3	Sharrow	0.000545326
207	322482	W  PASSYUNK  AVE	63240	B	3	Conventional	0.000338977
208	322480	W  PASSYUNK  AVE	63240	B	3	Conventional w Sharrows	0.000646325
209	322481	W  PASSYUNK  AVE	63240	B	3	Conventional	0.001756617
210	322483	W  PASSYUNK  AVE	63240	B	3	Conventional	0.001655673
211	220408	W  PASSYUNK  AVE	63240	B	2	Conventional w Sharrows	0.001529562
212	220484	W  PASSYUNK  AVE	63240	B	2	Conventional	0.002062298
213	322731	S  21ST  ST	88200	FT	3	Sharrow	0.000231741
214	320754	S  21ST  ST	88200	FT	3	Sharrow	0.000309191
215	320768	S  22ND  ST	88220	TF	3	Conventional	0.000315232
216	320779	S  21ST  ST	88200	FT	3	Sharrow	9.56E-05
217	320767	S  22ND  ST	88220	TF	3	Conventional	9.91E-05
218	321080	GRAYS FERRY  AVE	38340	B	3	Sharrow	0.000721186
219	321079	GRAYS FERRY  AVE	38340	B	3	Sharrow	0.000575905
220	321057	GRAYS FERRY  AVE	38340	B	3	Sharrow	0.00033197
221	322740	GRAYS FERRY  AVE	38340	B	3	Sharrow	0.001287356
222	321037	S  22ND  ST	88220	TF	3	Conventional	0.000181045
223	321038	S  22ND  ST	88220	TF	3	Conventional	0.000316176
224	321049	S  24TH  ST	88270	FT	4	Sharrow	0.000280862
225	322620	GRAYS FERRY  AVE	38340	B	3	Sharrow	0.000459566
226	320705	S  18TH  ST	88140	TF	3	Sharrow	0.000346046
227	320698	PINE  ST	64820	TF	3	Paint Buffered	0.000435573
228	322691	SOUTH  ST	73440	B	3	Conventional	0.00247285
229	421918	SPRUCE  ST	73960	B	3	Conventional	0.000905551
230	322972	SOUTH  ST	73440	B	3	Paint Buffered	0.002453668
231	322741	GRAYS FERRY  AVE	38340	B	3	Sharrow	0.001629123
232	322749	WASHINGTON  AVE	81560	B	2	Conventional	0.001605542
233	422228	WALNUT  ST	81140	FT	2	Paint Buffered	0.002078984
234	422208	S  33RD  ST	88450	TF	3	Paint Buffered	0.0015518
235	421965	S  34TH  ST	88470	FT	2	Conventional	0.000464099
236	421964	S  34TH  ST	88470	FT	2	Conventional	0.000305188
237	421917	CHESTNUT  ST	22820	TF	2	Conventional	0.002349831
238	420830	LANCASTER  AVE	48900	B	2	Conventional	0.000714411
239	421910	N  33RD  ST	88440	FT	3	Paint Buffered	0.0006863
240	421909	N  33RD  ST	88440	FT	3	Paint Buffered	0.000527461
241	421904	N  34TH  ST	88460	TF	2	Conventional	0.000399757
242	421905	N  34TH  ST	88460	TF	2	Conventional	0.000543398
243	421890	N  34TH  ST	88460	TF	2	Conventional	0.001438508
244	420738	POWELTON  AVE	65460	B	3	Conventional	0.001685474
245	421884	N  33RD  ST	88440	FT	3	Paint Buffered	0.001569729
246	421888	N  34TH  ST	88460	TF	2	Conventional	0.00061185
247	421889	N  34TH  ST	88460	TF	2	Conventional	0.000645393
248	421843	SPRING GARDEN  ST	73800	B	3	Conventional	0.000614145
249	421844	SPRING GARDEN  ST	73800	B	3	Conventional	0.000463187
250	421858	N  33RD  ST	88440	FT	3	Paint Buffered	0.000762903
251	421845	SPRING GARDEN  ST	73800	B	3	Conventional	0.001461198
252	420614	SPRING GARDEN  ST	73800	TF	3	Conventional	0.001461006
253	421859	N  33RD  ST	88440	FT	3	Paint Buffered	0.000747763
254	420631	N  34TH  ST	88460	TF	2	Conventional	0.000759974
255	420665	N  34TH  ST	88460	TF	2	Conventional	0.000746534
256	422858	N  34TH  ST	88460	TF	2	Conventional	0.000590929
257	421855	HAVERFORD  AVE	41240	FT	3	Conventional	0.001447917
258	420584	N  34TH  ST	88460	TF	2	Conventional	0.000558049
259	421857	N  33RD  ST	88440	FT	3	Sharrow	0.00058935
260	421856	N  33RD  ST	88440	FT	3	Sharrow	0.000565746
261	421854	HAVERFORD  AVE	41240	FT	3	Conventional	0.000506361
262	421853	HAVERFORD  AVE	41240	FT	3	Conventional	0.00043957
263	421852	HAVERFORD  AVE	41240	FT	3	Conventional	0.000519081
264	421851	HAVERFORD  AVE	41240	FT	3	Conventional	0.001058954
265	421112	N  33RD  ST	88440	B	3	Sharrow	0.000606603
266	421111	N  33RD  ST	88440	B	3	Sharrow	0.000586758
267	420454	N  33RD  ST	88440	FT	3	Sharrow	0.000572864
268	420420	N  33RD  ST	88440	FT	3	Sharrow	0.000554549
269	420672	BENJAMIN FRANKLIN  PKWY	16880	TF	2	Conventional	0.003196993
270	420643	BENJAMIN FRANKLIN  PKWY	16880	FT	2	Conventional	0.002719034
271	422318	SPRING GARDEN  ST	73800	TF	2	Conventional	0.000824596
272	422305	SPRING GARDEN  ST	73800	B	3	Conventional	0.00044735
273	422304	SPRING GARDEN  ST	73800	B	3	Conventional	0.002760553
274	421387	N  18TH  ST	88130	FT	3	Sharrow	0.00092701
275	421398	BENJAMIN FRANKLIN  PKWY	16880	B	2	Conventional	0.001754332
276	421366	BENJAMIN FRANKLIN  PKWY	16880	B	2	Conventional	0.001821762
277	422186	PENNSYLVANIA  AVE	63960	B	3	Conventional	0.002087417
278	421911	N  33RD  ST	88440	FT	3	Paint Buffered	0.000698062
279	421265	SANSOM  ST	70940	B	5	Sharrow	0.000564711
280	421397	BENJAMIN FRANKLIN  PKWY	16880	FT	4	Conventional	0.001136061
281	422396	BENJAMIN FRANKLIN  PKWY	16880	FT	2	Conventional	0.001486193
282	420588	N  15TH  ST	88070	TF	4	Sharrow	0.000645467
283	441773	SPRING GARDEN  ST	73800	FT	2	Conventional	0.001561799
284	420582	SPRING GARDEN  ST	73800	TF	2	Conventional	0.001581071
285	420589	SPRING GARDEN  ST	73800	TF	2	Conventional	0.0015828
286	423041	N  22ND  ST	88210	FT	3	Conventional	0.0003218
287	420593	N  22ND  ST	88210	FT	3	Conventional	0.001021974
288	420642	N  22ND  ST	88210	FT	3	Conventional	0.001164699
289	420529	N  21ST  ST	88190	TF	4	Sharrow	0.000668072
290	441834	SPRING GARDEN  ST	73800	FT	2	Conventional	0.001590823
291	441832	SPRING GARDEN  ST	73800	FT	2	Conventional	0.001583993
292	441830	SPRING GARDEN  ST	73800	FT	2	Conventional	0.001591914
293	441828	SPRING GARDEN  ST	73800	FT	2	Conventional	0.001902948
294	441836	SPRING GARDEN  ST	73800	FT	2	Conventional	0.001584785
295	421822	PENNSYLVANIA  AVE	63960	B	3	Conventional	0.000924234
296	421200	S  18TH  ST	88140	TF	3	Sharrow	0.000464756
297	421931	S  21ST  ST	88200	FT	3	Sharrow	0.000436967
298	421943	S  24TH  ST	88270	FT	5	Sharrow	0.000371619
299	421946	S  25TH  ST	88290	TF	4	Sharrow	0.000363905
300	320656	PINE  ST	64820	TF	3	Paint Buffered	0.000693235
301	320655	PINE  ST	64820	TF	3	Paint Buffered	0.000549347
302	320668	S  15TH  ST	88080	FT	3	Sharrow	0.000460314
303	320669	S  15TH  ST	88080	FT	3	Sharrow	0.000454397
304	320657	PINE  ST	64820	TF	3	Paint Buffered	0.000933806
305	320919	S  15TH  ST	88080	FT	4	Sharrow	0.000441244
306	320654	PINE  ST	64820	TF	3	Paint Buffered	0.001036141
307	320700	PINE  ST	64820	TF	3	Paint Buffered	0.000408291
308	320653	PINE  ST	64820	TF	3	Paint Buffered	0.0005658
309	320699	PINE  ST	64820	TF	3	Paint Buffered	0.000623949
310	320706	S  18TH  ST	88140	TF	3	Sharrow	0.000178986
311	320707	S  18TH  ST	88140	TF	3	Sharrow	0.000395258
312	320892	S  18TH  ST	88140	TF	4	Sharrow	0.000450598
313	320891	S  18TH  ST	88140	TF	3	Sharrow	0.000320283
314	320741	PINE  ST	64820	TF	3	Paint Buffered	0.00077894
315	320742	PINE  ST	64820	TF	3	Paint Buffered	0.000794812
316	320697	PINE  ST	64820	TF	3	Paint Buffered	0.001592246
317	320739	PINE  ST	64820	TF	3	Paint Buffered	0.000960174
318	320740	PINE  ST	64820	TF	3	Paint Buffered	0.000991345
319	320704	S  18TH  ST	88140	TF	3	Sharrow	0.000380095
320	323000	PINE  ST	64820	TF	3	Paint Buffered	0.001138496
321	421941	S  22ND  ST	88220	TF	3	Conventional	0.000530211
322	320752	S  21ST  ST	88200	FT	3	Sharrow	0.00015215
323	320753	S  21ST  ST	88200	FT	3	Sharrow	0.000213503
324	320773	PINE  ST	64820	TF	3	Paint Buffered	0.000806753
325	320755	S  21ST  ST	88200	FT	3	Sharrow	0.000412334
326	320859	S  21ST  ST	88200	FT	3	Sharrow	0.000292605
327	320759	S  21ST  ST	88200	FT	3	Sharrow	0.000249236
328	320758	S  21ST  ST	88200	FT	3	Sharrow	0.000210885
329	320757	S  21ST  ST	88200	FT	3	Sharrow	0.000284867
330	320756	S  21ST  ST	88200	FT	3	Sharrow	0.00028248
331	320751	S  21ST  ST	88200	FT	3	Sharrow	0.000246395
332	320853	S  22ND  ST	88220	TF	3	Conventional	0.000268237
333	320854	S  22ND  ST	88220	TF	3	Conventional	0.000214248
334	320816	LOMBARD  ST	51520	FT	3	Paint Buffered	0.000562105
335	320850	LOMBARD  ST	51520	FT	3	Paint Buffered	0.000613756
336	320790	PINE  ST	64820	TF	3	Sharrow	0.000574259
337	320771	PINE  ST	64820	TF	3	Sharrow	0.000599291
338	320772	PINE  ST	64820	TF	3	Paint Buffered	0.000797668
339	320789	PINE  ST	64820	TF	5	Sharrow	0.001015116
340	320797	S  24TH  ST	88270	FT	5	Sharrow	0.000459312
341	320798	S  24TH  ST	88270	FT	5	Sharrow	0.000468747
342	320815	LOMBARD  ST	51520	FT	3	Paint Buffered	0.001027422
343	320844	S  24TH  ST	88270	FT	5	Sharrow	0.000553397
344	320794	S  24TH  ST	88270	FT	5	Sharrow	0.000337965
345	320795	S  24TH  ST	88270	FT	5	Sharrow	0.000360643
346	320796	S  24TH  ST	88270	FT	5	Sharrow	0.000379839
347	320843	S  24TH  ST	88270	FT	5	Sharrow	0.000473692
348	322615	S  25TH  ST	88290	TF	4	Sharrow	0.000552726
349	322614	S  25TH  ST	88290	TF	4	Sharrow	0.000480831
350	320814	LOMBARD  ST	51520	FT	3	Paint Buffered	0.001120678
351	322618	S  25TH  ST	88290	TF	4	Sharrow	0.000458645
352	322613	S  25TH  ST	88290	TF	4	Sharrow	0.00046281
353	320788	PINE  ST	64820	TF	5	Sharrow	0.001124965
354	322610	S  25TH  ST	88290	TF	4	Sharrow	0.000368782
355	322612	S  25TH  ST	88290	TF	4	Sharrow	0.000378313
356	322611	S  25TH  ST	88290	TF	4	Sharrow	0.000334837
357	320813	LOMBARD  ST	51520	FT	3	Paint Buffered	0.001240896
358	320828	SOUTH  ST	73440	TF	3	Paint Buffered	0.000705132
359	320812	LOMBARD  ST	51520	FT	3	Paint Buffered	0.000589792
360	320811	LOMBARD  ST	51520	FT	3	Paint Buffered	0.000571319
361	320893	S  18TH  ST	88140	TF	4	Sharrow	0.000438543
362	320895	S  18TH  ST	88140	TF	4	Sharrow	0.000494414
363	320894	S  18TH  ST	88140	TF	4	Sharrow	0.000500333
364	320920	S  15TH  ST	88080	FT	4	Sharrow	0.000432907
365	320938	S  15TH  ST	88080	FT	4	Sharrow	0.000328465
366	320939	S  15TH  ST	88080	FT	4	Sharrow	0.000707264
367	320940	S  15TH  ST	88080	FT	4	Sharrow	0.000380862
368	320995	S  18TH  ST	88140	TF	4	Sharrow	0.001030674
369	320998	S  18TH  ST	88140	TF	4	Sharrow	0.000496514
370	321651	S  21ST  ST	88200	FT	4	Sharrow	0.000405954
371	321650	S  21ST  ST	88200	FT	4	Sharrow	7.02E-05
372	321649	S  21ST  ST	88200	FT	4	Sharrow	0.00030805
373	320997	S  18TH  ST	88140	TF	4	Sharrow	0.00041634
374	320996	S  18TH  ST	88140	TF	4	Sharrow	0.000373572
375	323191	S  22ND  ST	88220	TF	3	Conventional	0.000257283
376	320860	S  21ST  ST	88200	FT	4	Sharrow	0.000465768
377	320861	S  21ST  ST	88200	FT	4	Sharrow	0.000423756
378	321030	S  21ST  ST	88200	FT	4	Sharrow	0.000502801
379	321031	S  21ST  ST	88200	FT	4	Sharrow	0.000497355
380	320855	S  22ND  ST	88220	TF	3	Conventional	0.0002435
381	320856	S  22ND  ST	88220	TF	3	Conventional	0.000307294
382	320842	SOUTH  ST	73440	TF	3	Paint Buffered	0.001603195
383	320857	S  22ND  ST	88220	TF	3	Conventional	0.000454696
384	320858	S  22ND  ST	88220	TF	3	Conventional	0.000433893
385	321036	S  22ND  ST	88220	TF	3	Conventional	0.000492703
386	321039	S  22ND  ST	88220	TF	3	Conventional	0.000511627
387	321584	S  22ND  ST	88220	TF	3	Conventional	8.87E-05
388	321585	S  22ND  ST	88220	TF	3	Conventional	0.000175183
389	321040	S  22ND  ST	88220	TF	3	Conventional	0.000255897
390	320841	SOUTH  ST	73440	TF	3	Paint Buffered	0.000839286
391	320840	SOUTH  ST	73440	TF	3	Paint Buffered	0.000324936
392	320845	S  24TH  ST	88270	FT	5	Sharrow	0.000898925
393	321058	GRAYS FERRY  AVE	38340	B	3	Sharrow	0.000789501
394	322737	SOUTH  ST	73440	TF	3	Paint Buffered	0.001022919
395	320991	S  15TH  ST	88080	FT	4	Sharrow	0.000397539
396	321610	S  15TH  ST	88080	FT	4	Sharrow	0.000528035
397	321611	S  15TH  ST	88080	FT	4	Sharrow	0.000471939
398	322743	WASHINGTON  AVE	81560	B	2	Conventional	0.001588788
