cartodb_id,the_geom,avg_duration,num_rides,per_round,right_station_id,right_coordinates_lon,right_coordinates_lat,right_type,right_addressstreet,right_addresszipcode,right_bikesavailable,right_docksavailable,right_name,right_timezone,right_totaldocks,right_total_num_rides,right_std_rides,right_station_lat,right_station_lon,right_start_num_rides,right_end_num_rides,right_st_per_in,right_ed_per_in,right_st_per_out,right_ed_per_out,right_ttl_per
95,0101000020E61000009B728577B9CA52C0E38DCC237FFC4340,2510,157,0.034,3115,-75.16757,39.97263,Point,1901 W. Girard St..,19130,1,22,"19th & Girard, PTTI",Eastern Standard Time,23,4588,-0.81,39.97263,-75.16757,2606,1982,0.568,0.432,0.004,0.003,0.004
96,0101000020E6100000632827DA55CE52C0280AF4893CFD4340,1913,49,0.065,3117,-75.22399,39.97841,Point,1575 N 52nd St.,19131,5,14,ParkWest Town Center,Eastern Standard Time,19,757,-1.21,39.97841,-75.22399,399,358,0.527,0.473,0.001,0.001,0.001
97,0101000020E6100000AB21718FA5CD52C0DFFDF15EB5FA4340,2483,169,0.047,3118,-75.21323,39.95866,Point,4628 Market Street,19139,10,13,"46th Street Station, MFL",Eastern Standard Time,23,3588,-0.91,39.95866,-75.21323,1774,1814,0.494,0.506,0.003,0.003,0.003
98,0101000020E610000048F949B54FCD52C016DEE522BEFB4340,3993,169,0.098,3119,-75.20799,39.96674,Point,4209 Lancaster Avenue,19104,11,6,42nd & Lancaster,Eastern Standard Time,17,1721,-1.11,39.96674,-75.20799,955,766,0.555,0.445,0.002,0.001,0.001
99,0101000020E6100000601F9DBAF2CB52C0DB334B02D4FC4340,3585,322,0.056,3120,-75.18669,39.97522,Point,1210 N. 31st Street,19121,1,22,31st & Girard,Eastern Standard Time,23,5791,-0.69,39.97522,-75.18669,3064,2727,0.529,0.471,0.005,0.004,0.004
100,0101000020E6100000AFCE31207BCB52C06AC18BBE82FC4340,3020,177,0.024,3121,-75.17939,39.97274,Point,2601 Poplar Street,19130,7,11,26th & Poplar,Eastern Standard Time,18,7399,-0.52,39.97274,-75.17939,4154,3245,0.561,0.439,0.006,0.005,0.006
101,0101000020E6100000C976BE9F1ACB52C0DAE6C6F484FD4340,4135,236,0.178,3122,-75.1735,39.98062,Point,2328 Cecil B Moore,19121,8,8,"24th & Cecil B. Moore, Cecil B. Moore Library",Eastern Standard Time,16,1324,-1.15,39.98062,-75.1735,673,651,0.508,0.492,0.001,0.001,0.001
102,0101000020E610000097E2AAB2EFCA52C0CC6262F371FD4340,3053,210,0.110,3123,-75.17088,39.98004,Point,1637 N. 22nd Street,19121,0,19,22nd & Cecil B. Moore,Eastern Standard Time,19,1910,-1.09,39.98004,-75.17088,1032,878,0.540,0.460,0.002,0.001,0.002
103,0101000020E6100000B493C151F2C852C0925CFE43FAF94340,3642,694,0.088,3124,-75.13979,39.95295,Point,190 N Christopher Columbus Blvd (approx.),19106,9,14,Race Street Pier,Eastern Standard Time,23,7899,-0.47,39.95295,-75.13979,3776,4123,0.478,0.522,0.006,0.006,0.006
104,0101000020E6100000143FC6DCB5CA52C0062FFA0AD2F84340,2981,360,0.026,3125,-75.16735,39.94391,Point,1505 South St. ,19146,6,13,15th & South,Eastern Standard Time,19,13871,0.15,39.94391,-75.16735,7055,6816,0.509,0.491,0.011,0.011,0.011
105,0101000020E6100000F5A10BEA5BCC52C04CC3F01131F94340,1796,80,0.014,3129,-75.19311,39.94681,Point,East Service Drive,19104,4,15,"The Children's Hospital of Philadelphia, East Service Drive",Eastern Standard Time,19,5799,-0.69,39.94681,-75.19311,3164,2635,0.546,0.454,0.005,0.004,0.004
