cartodb_id,the_geom,avg_duration,num_rides,per_round,right_station_id,right_coordinates_lon,right_coordinates_lat,right_type,right_addressstreet,right_addresszipcode,right_bikesavailable,right_docksavailable,right_name,right_timezone,right_totaldocks,right_total_num_rides,right_std_rides,right_station_lat,right_station_lon,right_start_num_rides,right_end_num_rides,right_st_per_in,right_ed_per_in,right_st_per_out,right_ed_per_out,right_ttl_per
11,0101000020E61000001A69A9BC1DCB52C0A6B8AAECBBFA4340,3359,673,0.048,3014,-75.17369,39.95886,Point,2090 Winter St.,19103,2,23,"21st & Winter, Franklin Institute",Eastern Standard Time,25,14157,0.18,39.95886,-75.17369,7010,7147,0.495,0.505,0.011,0.011,0.011
12,0101000020E6100000AFEB17EC86C952C0CCEEC9C342F94340,2294,360,0.032,3015,-75.14886,39.94735,Point,422 Walnut St.,19106,3,8,"4th & Walnut, NPS",Eastern Standard Time,11,11301,-0.12,39.94735,-75.14886,5396,5905,0.477,0.523,0.008,0.009,0.009
13,0101000020E61000003D2CD49AE6C952C05C38109205FC4340,1390,59,0.070,3016,-75.1547,39.96892,Point,1100 Poplar St.,19123,3,12,"11th & Poplar, John F. Street Community Center",Eastern Standard Time,15,839,-1.2,39.96892,-75.1547,420,419,0.501,0.499,0.001,0.001,0.001
14,0101000020E6100000EC866D8B32C952C0A88C7F9F71FD4340,3007,132,0.063,3017,-75.14371,39.98003,Point,527 W. Berks St.,19122,5,10,6th & Berks,Eastern Standard Time,15,2098,-1.07,39.98003,-75.14371,959,1139,0.457,0.543,0.002,0.002,0.002
15,0101000020E6100000950ED6FF39CA52C084F57F0EF3F94340,3438,665,0.029,3018,-75.15979,39.95273,Point,1200 Filbert St.,19107,9,9,12th & Filbert,Eastern Standard Time,18,23183,1.11,39.95273,-75.15979,11526,11657,0.497,0.503,0.018,0.018,0.018
16,0101000020E61000006B7D91D096C952C092B3B0A71DFA4340,2179,239,0.031,3019,-75.14983,39.95403,Point,160 N. 6th St.,19106,5,10,6th & Race,Eastern Standard Time,15,7680,-0.49,39.95403,-75.14983,3893,3787,0.507,0.493,0.006,0.006,0.006
17,0101000020E610000063B48EAA26CC52C0E813799274F94340,2003,476,0.019,3020,-75.18986,39.94887,Point,3051 South St.,19147,10,25,University City Station,Eastern Standard Time,35,25694,1.37,39.94887,-75.18986,13770,11924,0.536,0.464,0.021,0.018,0.020
18,0101000020E6100000AD174339D1CA52C0C3D32B6519FA4340,2614,1089,0.027,3021,-75.16902,39.9539,Point,1750 John F. Kennedy Blvd.,19103,9,25,18th & JFK,Eastern Standard Time,34,40629,2.92,39.9539,-75.16902,18503,22126,0.455,0.545,0.028,0.034,0.031
19,0101000020E61000005969520ABACB52C0276BD44334FA4340,2750,915,0.029,3022,-75.18323,39.95472,Point,2933 Market Street,19104,5,16,Amtrak 30th Street Station,Eastern Standard Time,21,31204,1.94,39.95472,-75.18323,15623,15581,0.501,0.499,0.024,0.024,0.024
20,0101000020E610000057B2632310CB52C044C02154A9F94340,3260,1461,0.027,3023,-75.17286,39.95048,Point,1911 Walnut St,19103,9,11,Rittenhouse Square,Eastern Standard Time,21,53299,4.23,39.95048,-75.17286,26133,27166,0.490,0.510,0.040,0.042,0.041
21,0101000020E6100000DA8F149161CD52C0E1B4E0455FF94340,2978,538,0.056,3024,-75.20908,39.94822,Point,598 S. 43rd St.,19104,13,3,"43rd & Chester, Clark Park",Eastern Standard Time,19,9586,-0.29,39.94822,-75.20908,4895,4691,0.511,0.489,0.008,0.007,0.007
22,0101000020E61000005F07CE1951CA52C06440F67AF7F74340,2100,263,0.021,3025,-75.1612,39.93724,Point,1084 Washington Ave.,19147,13,2,11th & Washington,Eastern Standard Time,15,12755,0.03,39.93724,-75.1612,6502,6253,0.510,0.490,0.010,0.010,0.010
23,0101000020E6100000533F6F2A52C952C0E38DCC237FF84340,3044,689,0.039,3026,-75.14564,39.94138,Point,523 S. 2nd St.,19147,11,6,2nd & South,Eastern Standard Time,17,17790,0.55,39.94138,-75.14564,8516,9274,0.479,0.521,0.013,0.014,0.014
24,0101000020E610000017D4B7CCE9CC52C0EDD3F19881FA4340,2278,241,0.029,3027,-75.20177,39.95708,Point,3984 Market St.,19104,4,11,"40th Street Station, MFL",Eastern Standard Time,15,8308,-0.43,39.95708,-75.20177,4824,3484,0.581,0.419,0.007,0.005,0.006
25,0101000020E6100000AF08FEB792C952C0312592E865F84340,2072,678,0.027,3028,-75.14958,39.94061,Point,404 Bainbridge St.,19147,10,5,4th & Bainbridge,Eastern Standard Time,15,25205,1.32,39.94061,-75.14958,11691,13514,0.464,0.536,0.018,0.021,0.019
26,0101000020E61000009FE5797077CC52C060764F1E16FA4340,2992,728,0.029,3029,-75.19479,39.9538,Point,125 S. 36th St.,19104,0,17,36th & Sansom,Eastern Standard Time,17,25517,1.35,39.9538,-75.19479,13209,12308,0.518,0.482,0.020,0.019,0.020
27,0101000020E6100000520FD1E80ECA52C0B1BFEC9E3CF84340,2008,446,0.025,3030,-75.15716,39.93935,Point,840 S. Darien St.,19147,18,11,Darien & Catharine,Eastern Standard Time,29,17601,0.53,39.93935,-75.15716,8773,8828,0.498,0.502,0.013,0.014,0.014
28,0101000020E6100000D9EBDD1FEFC952C0EF38454772FD4340,2889,500,0.038,3031,-75.15522,39.98005,Point,1284 W. Montgomery Ave.,19122,11,10,13th & Montgomery,Eastern Standard Time,21,13072,0.07,39.98005,-75.15522,6682,6390,0.511,0.489,0.010,0.010,0.010
29,0101000020E6100000E8305F5E80CB52C0E9F17B9BFEF84340,3026,945,0.028,3032,-75.17971,39.94527,Point,671 S. 23rd St.,19146,13,4,23rd & South,Eastern Standard Time,17,34225,2.25,39.94527,-75.17971,16985,17240,0.496,0.504,0.026,0.027,0.026
30,0101000020E610000044A852B307CA52C04BC8073D9BF94340,1993,320,0.021,3033,-75.15672,39.95005,Point,921 Chestnut St.,19107,4,16,10th & Chestnut,Eastern Standard Time,20,15101,0.28,39.95005,-75.15672,7352,7749,0.487,0.513,0.011,0.012,0.012
31,0101000020E61000004390831266CA52C096218E7571F74340,2256,360,0.021,3034,-75.16248,39.93315,Point,1116 Reed St.,19147,15,1,11th & Reed,Eastern Standard Time,16,17139,0.49,39.93315,-75.16248,8117,9022,0.474,0.526,0.012,0.014,0.013
32,0101000020E610000075CDE49B6DCC52C01EC4CE143AFB4340,2446,282,0.038,3035,-75.19419,39.96271,Point,3599 Spring Garden,19104,5,15,Dornsife Center,Eastern Standard Time,20,7445,-0.52,39.96271,-75.19419,4355,3090,0.585,0.415,0.007,0.005,0.006
33,0101000020E61000003BC780ECF5C852C0B21188D7F5FB4340,2987,220,0.035,3036,-75.14001,39.96844,Point,1104 Germantown Ave.,19123,6,9,2nd & Germantown,Eastern Standard Time,15,6277,-0.64,39.96844,-75.14001,2949,3328,0.470,0.530,0.005,0.005,0.005
34,0101000020E61000009F8EC70C54CA52C07C444C8924FA4340,2054,704,0.051,3037,-75.16138,39.95424,Point,1321 Arch St.,19107,1,20,Pennsylvania Convention Center,Eastern Standard Time,21,13895,0.15,39.95424,-75.16138,6757,7138,0.486,0.514,0.010,0.011,0.011
35,0101000020E6100000C39E76F86BCC52C02F698CD651F94340,1896,201,0.014,3038,-75.19409,39.94781,Point,3499 Civic Center Blvd.,19104,6,13,The Children's Hospital of Philadelphia (CHOP),Eastern Standard Time,19,14713,0.24,39.94781,-75.19409,7648,7065,0.520,0.480,0.012,0.011,0.011
36,0101000020E6100000F54A598638CA52C02AC6F99B50FC4340,2140,252,0.026,3039,-75.1597,39.97121,Point,922 N. Broad St.,19130,5,13,Broad & Girard,Eastern Standard Time,19,9731,-0.28,39.97121,-75.1597,5347,4384,0.549,0.451,0.008,0.007,0.008
37,0101000020E61000001F4B1FBAA0CA52C09ED2C1FA3FFB4340,2362,498,0.034,3040,-75.16606,39.96289,Point,1684 Spring Garden St.,19130,2,19,"17th & Spring Garden, Community College of Philadelphia",Eastern Standard Time,21,14520,0.22,39.96289,-75.16606,8218,6302,0.566,0.434,0.013,0.010,0.011
38,0101000020E6100000A27A6B60ABC852C06440F67AF7FB4340,2719,411,0.046,3041,-75.13546,39.96849,Point,1176 Leopard Ave.,19123,11,8,"Girard Station, MFL",Eastern Standard Time,19,8889,-0.37,39.96849,-75.13546,4026,4863,0.453,0.547,0.006,0.008,0.007
39,0101000020E61000006553AEF02ECB52C03A3B191C25F74340,2286,637,0.078,3043,-75.17474,39.93082,Point,1625 S. 18th St.,19145,13,5,"18th & Fernon, Aquinas Center",Eastern Standard Time,18,8204,-0.44,39.93082,-75.17474,4064,4140,0.495,0.505,0.006,0.006,0.006
40,0101000020E61000007FF6234564CA52C0B79C4B7155F94340,2549,796,0.022,3045,-75.16237,39.94792,Point,213 S. 13th St.,19107,11,3,13th & Locust,Eastern Standard Time,15,36039,2.44,39.94792,-75.16237,17850,18189,0.495,0.505,0.027,0.028,0.028
41,0101000020E6100000F0C4AC1743C952C044A33B889DF94340,3006,574,0.031,3046,-75.14472,39.95012,Point,215 Market St.,19106,4,7,2nd & Market,Eastern Standard Time,11,18654,0.64,39.95012,-75.14472,9087,9567,0.487,0.513,0.014,0.015,0.014
42,0101000020E61000001D8F19A88CC952C076FD82DDB0F94340,3260,840,0.045,3047,-75.14921,39.95071,Point,519 Market St.,19106,8,11,"Independence Mall, NPS",Eastern Standard Time,20,18814,0.66,39.95071,-75.14921,9196,9618,0.489,0.511,0.014,0.015,0.014
43,0101000020E610000085EB51B81EC952C069E388B5F8F84340,4291,1056,0.092,3049,-75.1425,39.94509,Point,3 Dock St.,19106,11,18,Foglietta Plaza,Eastern Standard Time,29,11517,-0.09,39.94509,-75.1425,5335,6182,0.463,0.537,0.008,0.010,0.009
44,0101000020E61000002EC55565DFC952C0AE2AFBAE08FA4340,2763,516,0.036,3050,-75.15426,39.95339,Point,813 Arch St.,19107,4,11,9th & Arch,Eastern Standard Time,15,14424,0.21,39.95339,-75.15426,7103,7321,0.492,0.508,0.011,0.011,0.011
45,0101000020E6100000B020CD5834CB52C0CF6BEC12D5FB4340,3194,696,0.040,3051,-75.17507,39.96744,Point,2237 Fairmount Ave.,19130,20,5,23rd & Fairmount,Eastern Standard Time,25,17580,0.53,39.96744,-75.17507,9504,8076,0.541,0.459,0.015,0.012,0.014
46,0101000020E6100000DC4603780BCA52C0616C21C841F94340,1587,705,0.029,3052,-75.15695,39.94732,Point,923 Locust St.,19107,11,14,9th & Locust,Eastern Standard Time,25,24243,1.22,39.94732,-75.15695,12159,12084,0.502,0.498,0.019,0.019,0.019
47,0101000020E61000009DBAF2599ECB52C0ECDD1FEF55F74340,2575,814,0.091,3053,-75.18154,39.93231,Point,1575 Point Breeze Ave.,19146,11,8,Point Breeze & Tasker,Eastern Standard Time,19,8966,-0.36,39.93231,-75.18154,4609,4357,0.514,0.486,0.007,0.007,0.007
48,0101000020E6100000A5BDC11726CB52C03333333333FB4340,2864,531,0.028,3054,-75.1742,39.9625,Point,2170 Hamilton St.,19146,8,7,Rodin Museum,Eastern Standard Time,15,19296,0.71,39.9625,-75.1742,9554,9742,0.495,0.505,0.015,0.015,0.015
49,0101000020E610000056BC9179E4C952C02849D74CBEF94340,2715,333,0.025,3055,-75.15457,39.95112,Point,834 Market St.,19107,4,11,8th & Market,Eastern Standard Time,15,13151,0.07,39.95112,-75.15457,6703,6448,0.510,0.490,0.010,0.010,0.010
50,0101000020E61000000EA14ACD1ECA52C0452A8C2D04FD4340,2971,574,0.039,3056,-75.15813,39.97669,Point,1501 N. Broad St.,19122,14,9,Broad & Oxford,Eastern Standard Time,23,14702,0.23,39.97669,-75.15813,7521,7181,0.512,0.488,0.012,0.011,0.011
51,0101000020E6100000DAE6C6F484CB52C0DDCD531D72FB4340,3424,3551,0.132,3057,-75.1816,39.96371,Point,2600 Benjamin Franklin Pkwy.,19130,15,8,Philadelphia Museum of Art,Eastern Standard Time,23,26886,1.49,39.96442,-75.17999,13430,13456,0.500,0.500,0.021,0.021,0.021
52,0101000020E61000008D7F9F71E1CA52C0EBFF1CE6CBFB4340,2944,653,0.046,3058,-75.17001,39.96716,Point,1940 Fairmount Ave.,19130,6,7,20th & Fairmount,Eastern Standard Time,13,14141,0.18,39.96716,-75.17001,7763,6378,0.549,0.451,0.012,0.010,0.011
53,0101000020E61000001F9DBAF259CA52C048BF7D1D38FB4340,3082,375,0.028,3059,-75.16174,39.96265,Point,1415 Spring Garden St.,19123,6,15,"Spring Garden Station, BSL",Eastern Standard Time,21,13344,0.09,39.96265,-75.16174,7136,6208,0.535,0.465,0.011,0.010,0.010
54,0101000020E6100000FB22A12DE7CA52C0C9AB730CC8FA4340,3071,338,0.026,3060,-75.17036,39.95923,Point,302 N. 19th St.,19103,9,10,Free Library of Philadelphia - Central Library,Eastern Standard Time,19,12915,0.05,39.95923,-75.17036,6183,6732,0.479,0.521,0.009,0.010,0.010
55,0101000020E6100000535C55F65DCB52C0A01A2FDD24FA4340,3527,700,0.030,3061,-75.17761,39.95425,Point,2241 Market St.,19103,2,23,23rd & Market,Eastern Standard Time,25,23111,1.1,39.95425,-75.17761,11314,11797,0.490,0.510,0.017,0.018,0.018
56,0101000020E6100000F67AF7C77BCB52C0F6622827DAF94340,3456,756,0.051,3062,-75.17943,39.95197,Point,120 S. 24th St.,19103,9,6,24th & Sansom,Eastern Standard Time,15,14871,0.25,39.95197,-75.17943,7212,7659,0.485,0.515,0.011,0.012,0.011
57,0101000020E610000017B7D100DECA52C0A29C685721F94340,2351,590,0.028,3063,-75.1698,39.94633,Point,391  S. 17th St.,19103,3,22,17th & Pine,Eastern Standard Time,25,21132,0.9,39.94633,-75.1698,10843,10289,0.513,0.487,0.017,0.016,0.016
90,0101000020E61000003B3602F1BAC852C0C976BE9F1AFB4340,2289,333,0.061,3110,-75.13641,39.96175,Point,779 Delaware Ave,19123,6,13,Del. River Trail & Penn St.,Eastern Standard Time,19,5443,-0.72,39.96175,-75.13641,2655,2788,0.488,0.512,0.004,0.004,0.004
58,0101000020E610000030D80DDB16CB52C08048BF7D1DF84340,2910,313,0.022,3064,-75.17327,39.9384,Point,1800 Washington Ave.,19146,10,5,"18th & Washington, Chew Playground",Eastern Standard Time,15,13943,0.16,39.9384,-75.17327,6938,7005,0.498,0.502,0.011,0.011,0.011
59,0101000020E6100000791EDC9DB5C952C0151DC9E53FFC4340,1392,52,0.022,3065,-75.15171,39.9707,Point,915 W. Girard Ave.,19123,5,10,Girard & Hutchinson,Eastern Standard Time,15,2325,-1.04,39.9707,-75.15171,1279,1046,0.550,0.450,0.002,0.002,0.002
60,0101000020E6100000A5A0DB4B1ACB52C0A2629CBF09F94340,2069,498,0.026,3066,-75.17348,39.94561,Point,1910 Lombard St.,19146,14,5,19th & Lombard,Eastern Standard Time,19,18976,0.68,39.94561,-75.17348,9999,8977,0.527,0.473,0.015,0.014,0.015
61,0101000020E6100000ED815660C8CC52C08FDFDBF467FB4340,1933,363,0.152,3067,-75.19973,39.96411,Point,631 N. 39th St.,19104,9,8,"39th & Mt. Vernon, Mantua Haverford Community Center",Eastern Standard Time,17,2389,-1.04,39.96411,-75.19973,1288,1101,0.539,0.461,0.002,0.002,0.002
62,0101000020E6100000693524EEB1CA52C016DEE522BEF74340,2410,389,0.027,3068,-75.16711,39.93549,Point,1201 S. Broad St.,19146,11,7,Broad & Federal,Eastern Standard Time,18,14368,0.2,39.93549,-75.16711,7273,7095,0.506,0.494,0.011,0.011,0.011
63,0101000020E61000003D7E6FD39FC952C09D853DEDF0F74340,2388,565,0.038,3069,-75.15038,39.93704,Point,403 Christian St.,19147,17,6,4th & Christian,Eastern Standard Time,23,14733,0.24,39.93704,-75.15038,7347,7386,0.499,0.501,0.011,0.011,0.011
64,0101000020E6100000FB3F87F9F2C852C017F19D98F5FA4340,2584,257,0.028,3070,-75.13983,39.96062,Point,117 Spring Garden St.,19123,9,10,"Spring Garden Station, MFL",Eastern Standard Time,19,9122,-0.34,39.96062,-75.13983,4419,4703,0.484,0.516,0.007,0.007,0.007
65,0101000020E6100000A4E4D53906CC52C082CAF8F719FB4340,3205,494,0.062,3071,-75.18788,39.96173,Point,3170 Baring St.,19104,7,6,"32nd & Baring, Drexel Park",Eastern Standard Time,13,7916,-0.47,39.96173,-75.18788,4470,3446,0.565,0.435,0.007,0.005,0.006
66,0101000020E6100000BAA0BE654EC952C0A4DFBE0E9CF74340,2882,258,0.028,3072,-75.14541,39.93445,Point,925 S. Front St.,19147,22,3,Front & Carpenter,Eastern Standard Time,25,9152,-0.34,39.93445,-75.14541,4357,4795,0.476,0.524,0.007,0.007,0.007
67,0101000020E610000068D0D03FC1C952C057B2632310FB4340,2660,260,0.028,3073,-75.15242,39.96143,Point,802 Spring Garden St.,19123,7,8,9th & Spring Garden,Eastern Standard Time,15,9156,-0.34,39.96143,-75.15242,4549,4607,0.497,0.503,0.007,0.007,0.007
68,0101000020E6100000569A94826ECD52C0910A630B41FA4340,2938,329,0.034,3074,-75.20987,39.95511,Point,160 S. 44th St.,19104,8,7,44th & Walnut,Eastern Standard Time,15,9727,-0.28,39.95511,-75.20987,5077,4650,0.522,0.478,0.008,0.007,0.008
69,0101000020E6100000B81E85EB51CA52C032ACE28DCCFB4340,1744,313,0.035,3075,-75.16125,39.96718,Point,1413 Fairmount Ave.,19130,9,3,Fairmount & Ridge,Eastern Standard Time,12,8879,-0.37,39.96718,-75.16125,4917,3962,0.554,0.446,0.008,0.006,0.007
70,0101000020E61000006AA4A5F276CA52C01CB62DCA6CFC4340,1402,230,0.052,3077,-75.16351,39.97207,Point,1617 Girard Ave.,19130,1,18,17th & Girard,Eastern Standard Time,19,4432,-0.83,39.97207,-75.16351,2591,1841,0.585,0.415,0.004,0.003,0.003
71,0101000020E6100000D061BEBC00CB52C0E78C28ED0DFA4340,1888,88,0.017,3078,-75.17192,39.95355,Point,1901 Market St.,19103,12,6,19th & Market,Eastern Standard Time,18,5285,-0.74,39.95355,-75.17192,2599,2686,0.492,0.508,0.004,0.004,0.004
72,0101000020E610000006D847A7AECA52C05C035B2558F84340,2120,254,0.025,3086,-75.16691,39.94019,Point,1406 Christian Street,19146,11,10,Broad & Christian,Eastern Standard Time,21,10056,-0.25,39.94019,-75.16691,5119,4937,0.509,0.491,0.008,0.008,0.008
73,0101000020E6100000A9A44E4013C952C0232D95B723FC4340,1956,165,0.034,3088,-75.1418,39.96984,Point,317 W. Girard Ave. ,19125,16,4,3rd & Girard,Eastern Standard Time,20,4918,-0.78,39.96984,-75.1418,2299,2619,0.467,0.533,0.004,0.004,0.004
74,0101000020E61000009981CAF8F7CB52C07C2C7DE882FE4340,3049,506,0.222,3093,-75.18701,39.98837,Point,2039 N. 33rd Street,19121,8,13,33rd & Diamond,Eastern Standard Time,21,2278,-1.05,39.98837,-75.18701,1205,1073,0.529,0.471,0.002,0.002,0.002
