coordinates_lon,coordinates_lat,type,addressStreet,addressZipCode,bikesAvailable,docksAvailable,station_id,name,timeZone,totalDocks
-75.17943,39.95197,Point,120 S. 24th St.,19103,9,6,3062,24th & Sansom,Eastern Standard Time,15
-75.1698,39.94633,Point,391  S. 17th St.,19103,3,22,3063,17th & Pine,Eastern Standard Time,25
-75.17327,39.9384,Point,1800 Washington Ave.,19146,10,5,3064,"18th & Washington, Chew Playground",Eastern Standard Time,15
-75.15171,39.9707,Point,915 W. Girard Ave.,19123,5,10,3065,Girard & Hutchinson,Eastern Standard Time,15
-75.17348,39.94561,Point,1910 Lombard St.,19146,14,5,3066,19th & Lombard,Eastern Standard Time,19
-75.19973,39.96411,Point,631 N. 39th St.,19104,9,8,3067,"39th & Mt. Vernon, Mantua Haverford Community Center",Eastern Standard Time,17
-75.16711,39.93549,Point,1201 S. Broad St.,19146,11,7,3068,Broad & Federal,Eastern Standard Time,18
-75.15038,39.93704,Point,403 Christian St.,19147,17,6,3069,4th & Christian,Eastern Standard Time,23
-75.13983,39.96062,Point,117 Spring Garden St.,19123,9,10,3070,"Spring Garden Station, MFL",Eastern Standard Time,19
-75.18788,39.96173,Point,3170 Baring St.,19104,7,6,3071,"32nd & Baring, Drexel Park",Eastern Standard Time,13
-75.14541,39.93445,Point,925 S. Front St.,19147,22,3,3072,Front & Carpenter,Eastern Standard Time,25
-75.15242,39.96143,Point,802 Spring Garden St.,19123,7,8,3073,9th & Spring Garden,Eastern Standard Time,15
-75.20987,39.95511,Point,160 S. 44th St.,19104,8,7,3074,44th & Walnut,Eastern Standard Time,15
-75.16125,39.96718,Point,1413 Fairmount Ave.,19130,9,3,3075,Fairmount & Ridge,Eastern Standard Time,12
-75.16351,39.97207,Point,1617 Girard Ave.,19130,1,18,3077,17th & Girard,Eastern Standard Time,19
-75.17192,39.95355,Point,1901 Market St.,19103,12,6,3078,19th & Market,Eastern Standard Time,18
-75.16691,39.94019,Point,1406 Christian Street,19146,11,10,3086,Broad & Christian,Eastern Standard Time,21
-75.1418,39.96984,Point,317 W. Girard Ave. ,19125,16,4,3088,3rd & Girard,Eastern Standard Time,20
-75.18701,39.98837,Point,2039 N. 33rd Street,19121,8,13,3093,33rd & Diamond,Eastern Standard Time,21
-75.18052,39.98771,Point,2039 N. 29th Street,19121,3,19,3095,29th & Diamond,Eastern Standard Time,22
-75.17975,39.99119,Point,2301 N. 29th Street,19132,3,16,3096,29th & Dauphin,Eastern Standard Time,19
-75.13339,39.97888,Point,1902 N. Front Street,19122,6,16,3097,"Berks Station, MFL",Eastern Standard Time,23
-75.16042,39.93431,Point,1201 S. 10th Street,19147,19,0,3098,10th & Federal,Eastern Standard Time,19
-75.15094,39.93401,Point,1110 S. 4th Street,19147,11,8,3099,4th & Washington,Eastern Standard Time,19
-75.15103,39.92777,Point,1600 E. Moyamensing,19148,13,10,3100,Moyamensing & Tasker,Eastern Standard Time,23
-75.15955,39.94295,Point,1015 South Street,19147,8,10,3101,11th & South,Eastern Standard Time,18
-75.18034,39.96818,Point,2601 Pennsylvania Avenue,19130,23,3,3102,26th & Pennsylvania,Eastern Standard Time,26
-75.1794,39.97714,Point,2651 Master Street,19121,6,16,3103,"27th & Master, Athletic Recreation Center",Eastern Standard Time,22
-75.19209,39.96664,Point,712 N. 34th Street,19104,5,8,3104,34th & Mantua,Eastern Standard Time,13
-75.12996,39.96652,Point,1341 N. Delaware Avenue,19125,0,19,3105,Penn Treaty Park,Eastern Standard Time,19
-75.18637,39.99179,Point,2300 N. 33rd Street,19132,11,12,3106,33rd & Dauphin,Eastern Standard Time,23
-75.18866,39.98203,Point,1626 N. 33rd Street,19121,9,14,3107,33rd & Reservoir,Eastern Standard Time,23
-75.16551,39.95316,Point,1515 Market Street,19102,10,11,3108,15th & Market,Eastern Standard Time,22
-75.20524,39.97486,Point,4105 Parkside Ave.,19104,1,18,3109,Parkside & Girard,Eastern Standard Time,19
-75.13641,39.96175,Point,779 Delaware Ave,19123,6,13,3110,Del. River Trail & Penn St.,Eastern Standard Time,19
-75.2122,39.97804,Point,4300 S. Concourse St.,19104,4,15,3111,"Parkside & Belmont, Case Buildling",Eastern Standard Time,19
-75.21825,39.95373,Point,310 S. 48th Street,19139,9,9,3112,48th & Spruce,Eastern Standard Time,18
-75.19562,39.97469,Point,1046 N. 34th Street,19104,0,18,3113,Philadelphia Zoo,Eastern Standard Time,18
-75.18012,39.93775,Point,22nd & Federal St.,19122,12,5,3114,22nd & Federal,Eastern Standard Time,17
-75.16757,39.97263,Point,1901 W. Girard St..,19130,1,22,3115,"19th & Girard, PTTI",Eastern Standard Time,23
-75.22399,39.97841,Point,1575 N 52nd St.,19131,5,14,3117,ParkWest Town Center,Eastern Standard Time,19
-75.21323,39.95866,Point,4628 Market Street,19139,10,13,3118,"46th Street Station, MFL",Eastern Standard Time,23
-75.20799,39.96674,Point,4209 Lancaster Avenue,19104,11,6,3119,42nd & Lancaster,Eastern Standard Time,17
-75.18669,39.97522,Point,1210 N. 31st Street,19121,1,22,3120,31st & Girard,Eastern Standard Time,23
-75.17939,39.97274,Point,2601 Poplar Street,19130,7,11,3121,26th & Poplar,Eastern Standard Time,18
-75.1735,39.98062,Point,2328 Cecil B Moore,19121,8,8,3122,"24th & Cecil B. Moore, Cecil B. Moore Library",Eastern Standard Time,16
-75.17088,39.98004,Point,1637 N. 22nd Street,19121,0,19,3123,22nd & Cecil B. Moore,Eastern Standard Time,19
-75.13979,39.95295,Point,190 N Christopher Columbus Blvd (approx.),19106,9,14,3124,Race Street Pier,Eastern Standard Time,23
-75.16735,39.94391,Point,1505 South St. ,19146,6,13,3125,15th & South,Eastern Standard Time,19
-75.19311,39.94681,Point,East Service Drive,19104,4,15,3129,"The Children's Hospital of Philadelphia, East Service Drive",Eastern Standard Time,19
